twitter	name_first	name_middle	name_last	state	position	party	inactive 
RepLaHood	Darin		LaHood	Ill.	House Representative	Republican	
DarleneforCD2	Darlene		Miller	Minn.	House Candidate	Republican	inactive 
DarleneSenger	Darlene		Senger	Ill.	House Candidate	Republican	inactive 
swaffarcongress	Darlene		Swaffer	Fla.	House Candidate	Republican	inactive 
VoteDarlene	Darlene	Mc	Donald	Utah	House Candidate	Democrat	inactive 
DarrellIssa	Darrel		Issa	Calif.	House Representative	Republican	
repdarrellissa	Darrell		Issa	Calif.	House Candidate	Republican	
aquino4congress	Darren		Aquino	Fla.	House Candidate	Republican	inactive 
darrenforutah	Darren		Parry	Utah	House Candidate	Democrat	inactive 
DarrenSoto	Darren		Soto	Fla.	House Candidate	Democrat	
Duncan4Illinois	Darren		Duncan	Ill.	House Candidate	Republican	inactive 
RepDarrenSoto	Darren		Soto	Fla.	House Representative	Democrat	
DarrylLGlenn	Darryl		Glenn	Colo.	House Candidate	Republican	inactive 
Dph2020	Darryl		Hendricks	N.Y.	House Candidate	Democrat	inactive 
DPH2319	Darryl	P.	Hendricks	Pa.	House Candidate	Democrat	inactive 
DaryRezvani	Dary		Rezvani	Calif.	House Candidate	Democrat	inactive 
DashaPruett	Dasha		Pruett	Pa.	House Candidate	Republican	inactive 
Dave_Harden	Dave		Harden	Md.	House Candidate	Democrat	
DaveBratVA7th	Dave		Brat	Va.	House Representative	Republican	inactive 
DaveCrooks1	Dave		Crooks	Ind.	House Candidate	Democrat	inactive 
DaveEHeineman	Dave		Heineman	Neb.	Governor	Republican	inactive 
DaveForIowa	Dave		Loebsack	Iowa	House Candidate	Democrat	inactive 
DaveJoyceOH14	Dave		Joyce	Ohio	House Candidate	Republican	
DaveKoller2014	Dave		Koller	Fla.	House Candidate	Democrat	inactive 
daveloebsack	Dave		Loebsack	Iowa	House Representative	Democrat	inactive 
davereichert	Dave		Reichert	Wash.	House Representative	Republican	inactive 
DaveWebberforUS	Dave		Webber	N.Y.	Senate Candidate	Republican	inactive 
DHughesCongress	Dave		Hughes	Minn.	House Candidate	Republican	inactive 
Elect_DaveW	Dave		Wilson	Wash.	House Candidate	Democrat	inactive 
GOPCAMPAC	Dave		Camp	Mich.	House Representative	Republican	inactive 
LindstromforKS	Dave		Lindstrom	Kan.	Senate Candidate	Republican	inactive 
RepDaveBrat	Dave		Brat	Va.	House Representative	Republican	inactive 
RepDaveCamp	Dave		Camp	Mich.	House Representative	Republican	inactive 
RepDaveTrott	Dave		Trott	Mich.	House Representative	Republican	inactive 
TeamReichert	Dave		Reichert	Wash.	House Representative	Republican	inactive 
ThompsonSenate	Dave		Thompson	Minn.	Gubernatorial Candidate	Republican	inactive 
trott4congress	Dave		Trott	Mich.	House Representative	Republican	inactive 
VoteGiles	Dave		Giles	Ariz.	House Candidate	Republican	inactive 
baake4nm	David		Baake	N.M.	House Candidate	Democrat	inactive 
Banach4Congress	David		Banach	Md.	House Candidate	Republican	inactive 
Brill4Congress	David		Brill	Ariz.	House Candidate	Democrat	inactive 
Cd5Torres	David		Torres	Colo.	House Candidate	Democrat	
David_Benac	David		Benac	Mich.	House Candidate	Democrat	inactive 
david4florida	David		Richardson	Fla.	House Candidate	Democrat	inactive 
David4SenateCA	David		Hildebrand	Calif.	Senate Candidate	Democrat	inactive 
DavidBalatHC	David		Balat	Texas	House Candidate	Republican	inactive 
DavidBuchwald	David		Buchwald	N.Y.	House Candidate	Democrat	inactive 
DavidCarlucci	David		Carlucci	N.Y.	House Candidate	Democrat	inactive 
davidcicilline	David		Cicilline	R.I.	House Representative	Democrat	
DavidCoxFL	David		Cox	Fla.	House Candidate	Democrat	inactive 
DavidCraig2014	David		Craig	Md.	Gubernatorial Candidate	Republican	inactive 
DavidForGeorgia	David		Pennington	Ga.	Gubernatorial Candidate	Republican	inactive 
DavidGiglioCA	David		Giglio	Calif.	House Candidate	Republican	
davidgill2012	David	Gill	M.D.	Ill.	House Candidate	Democrat	inactive 
DavidHillOK	David		Hill	Okla.	House Candidate	Republican	inactive 
DavidJollyCD13	David		Jolly	Fla.	House Representative	Republican	inactive 
davidjtrone	David		Trone	Md.	House Candidate	Democrat	
DavidKim2018	David		Kim	Ga.	House Candidate	Democrat	inactive 
DavidKustoff	David		Kustoff	Tenn.	House Candidate	Republican	
DavidPFranksJr	David		Franks	N.Y.	House Candidate	Democrat	inactive 
DavidRichterNJ	David		Richter	N.J.	House Candidate	Republican	inactive 
DavidRiveraFL	David		Rivera	Fla.	House Representative	Republican	inactive 
DavidRouzer	David		Rouzer	N.C.	House Candidate	Republican	
DavidSandbeck	David		Sandbeck	Minn.	House Candidate	Democrat	inactive 
DavidSchwarz_	David		Schwarz	Ga.	House Candidate	Republican	inactive 
DavidSchweikert	David		Schweikert	Ariz.	House Representative	Republican	
DavidSecor2012	David	B.	Secor	Calif.	House Candidate	Democrat	inactive 
DavidVitter	David		Vitter	La.	Senator	Republican	inactive 
DavidVogt_MD	David	E.	Vogt III	Md.	House Candidate	Republican	inactive 
davidwbrown	David	Wilson	Brown	N.C.	House Candidate	Democrat	inactive 
dbaria	David		Baria	Miss.	Senate Candidate	Democrat	inactive 
DC4CongressGA	David		Cooper	Ga.	House Candidate	Democrat	inactive 
DCfegan	David		Fegan	Texas	House Candidate	Republican	inactive 
dg4az	David		Garcia	Ariz.	Gubernatorial Candidate	Democrat	inactive 
dgvaladao	David		Valadao	Calif.	House Candidate	Republican	
DLAndersonJrTX	David		Anderson	Texas	House Candidate	Democrat	
DPrice4Congress	David		Price	N.C.	House Representative	Democrat	
DrDavidAlameel	David		Alameel	Texas	Senate Candidate	Democrat	inactive 
DrDavidDuke	David		Duke	La.	Senate Candidate	Republican	inactive 
DS4Congress	David		Saucedo	Texas	House Candidate	Republican	inactive 
Dude4Liberty	David		Dudenhoefer	Mich.	House Candidate	Republican	inactive 
DWB4Congress	David	W.	Brown	N.C.	House Candidate	Democrat	inactive 
dwertime	David		Wertime	Pa.	House Candidate	Democrat	inactive 
Electdavidscott	David		Scott	Ga.	House Representative	Democrat	
Griggs4Md7	David		Griggs	Md.	House Candidate	Other	inactive 
holden2018	David		Holden	Fla.	House Candidate	Democrat	inactive 
holden4florida	David		Holden	Fla.	House Candidate	Democrat	inactive 
ky4goodwin	David		Goodwin	Ky.	House Candidate	Other	inactive 
mckinley4cong	David	B.	McKinley	W.Va.	House Representative	Republican	inactive 
McKinleyforWV	David		McKinley	W.Va.	House Candidate	Republican	
PalmerforIL	David		Palmer	Ill.	House Candidate	Democrat	
Perduesenate	David		Perdue	Ga.	Senator	Republican	
RepCicilline	David	N	Cicilline	R.I.	House Candidate	Democrat	
RepDaveJoyce	David		Joyce	Ohio	House Representative	Republican	
RepDavid	David		Schweikert	Ariz.	House Representative	Republican	
RepDavidEPrice	David		Price	N.C.	House Representative	Democrat	
RepDavidKustoff	David		Kustoff	Tenn.	House Representative	Republican	
RepDavidRouzer	David		Rouzer	N.C.	House Representative	Republican	
repdavidscott	David		Scott	Ga.	House Representative	Democrat	
RepDavidTrone	David		Trone	Md.	House Representative	Democrat	
RepDavidValadao	David		Valadao	Calif.	House Representative	Republican	
RepDavidYoung	David		Young	Iowa	House Representative	Republican	inactive 
RepMcKinley	David	B.	McKinley	W.Va.	House Representative	Republican	
RepRivera	David		Rivera	Fla.	House Representative	Republican	inactive 
sendavidperdue	David		Perdue	Ga.	Senator	Republican	
Shapiro4FL16	David		Shapiro	Fla.	House Candidate	Democrat	inactive 
teamdavidige	David		Ige	Hawaii	Governor	Democrat	
Torres4cong	David		Torres	Pa.	House Candidate	Republican	inactive 
USRepDavidJolly	David		Jolly	Fla.	House Representative	Republican	inactive 
VoteRudnickCA25	David		Rudnick	Calif.	House Candidate	Democrat	inactive 
YoungForIowa	David		Young	Iowa	House Candidate	Republican	
zuckermanforvt	David		Zuckerman	Vt.	Gubernatorial Candidate	Democrat	inactive 
Barlow4Congress	Dawn		Barlow	Tenn.	House Candidate	Democrat	inactive 
daylinleach	Daylin		Leach	Pa.	House Candidate	Democrat	inactive 
daynasteele	Dayna		Steele	Texas	House Candidate	Democrat	inactive 
DDAdamsCongress	DD		Adams	N.C.	House Candidate	Democrat	inactive 
bucksPAC	Dean		Malik	Pa.	House Candidate	Republican	inactive 
deanbphillips	Dean		Phillips	Minn.	House Candidate	Democrat	
DeanBrowningPA	Dean		Browning	Pa.	House Candidate	Republican	inactive 
DeanHeller	Dean		Heller	Nev.	Senator	Republican	inactive 
RepDeanPhillips	Dean		Phillips	Minn.	House Representative	Democrat	
SenDeanHeller	Dean		Heller	Nev.	Senator	Republican	inactive 
VoteMcGonigle	Dean		McGonigle	Nev.	House Candidate	Other	inactive 
YoungForAlabama	Dean		Young	Ala.	House Candidate	Republican	inactive 
DeAndreCarterNC	DeAndre		Carter	N.C.	House Candidate	Democrat	inactive 
DeAnna4Congress	DeAnna		Lorraine	Calif.	House Candidate	Republican	inactive 
DebFischerNE	Deb		Fischer	Neb.	Senator	Republican	
DebGoldbergMA	Deb		Goldberg	Mass.	House Candidate	Democrat	inactive 
DebHaalandNM	Deb		Haaland	N.M.	House Candidate	Democrat	
RepDebHaaland	Deb		Haaland	N.M.	House Representative	Democrat	
SenatorFischer	Deb		Fischer	Neb.	Senator	Republican	
DebbieforFL	Debbie		Mucarsel-Powell	Fla.	House Candidate	Democrat	inactive 
DebbieLesko	Debbie		Lesko	Ariz.	House Candidate	Republican	
debdingell	Debbie		Dingell	Mich.	House Representative	Democrat	
DWStweets	Debbie	Wasserman	Schultz	Fla.	House Candidate	Democrat	
RepDebDingell	Debbie		Dingell	Mich.	House Representative	Democrat	
RepDLesko	Debbie		Lesko	Ariz.	House Representative	Republican	
RepDMP	Debbie		Mucarsel-Powell	Fla.	House Representative	Democrat	inactive 
RepDWStweets	Debbie	Wasserman	Schultz	Fla.	House Representative	Democrat	
SenStabenow	Debbie		Stabenow	Mich.	Senator	Democrat	
stabenow	Debbie		Stabenow	Mich.	Senator	Democrat	
TeamStabenow	Debbie		Stabenow	Mich.	Senator	Democrat	
votewachspress	Debbie		Wachspress	Pa.	House Candidate	Democrat	inactive 
BurnettForCO3	Debby		Burnett	Colo.	House Candidate	Democrat	
DeborahRossNC	Deborah		Ross	N.C.	House Candidate	Democrat	
MayorDAJackson	Deborah	A	Jackson	Ga.	Senate Candidate	Democrat	inactive 
RepDeborahRoss	Deborah		Ross	N.C.	House Representative	Democrat	
DebraHobbsforAR	Debra		Hobbs	Ark.	Gubernatorial Candidate	Republican	inactive 
DebraLamm	Debra		Lamm	Mont.	House Candidate	Republican	inactive 
VoteThornton	Dee		Thornton	Ind.	House Candidate	Democrat	inactive 
drdeepsran	Deep		Sran	Va.	House Candidate	Democrat	inactive 
Scaife4Indiana	Delano		Scaife	Ind.	House Candidate	Republican	inactive 
delina4az	Delino		DiSanto	Ariz.	House Candidate	Democrat	inactive 
DeMarcoSTL	DeMarco	K.	Davidson	Mo.	House Candidate	Democrat	inactive 
DrDenaGrayson	Dena		Grayson	Fla.	House Candidate	Democrat	
DeniseforSD	Denise		Gitsham	Calif.	House Candidate	Republican	inactive 
SOTSMerrill	Denise		Merrill	Conn.	State Official	Other	inactive 
Dennis_Kucinich	Dennis		Kucinich	Ohio	House Representative	Democrat	inactive 
dennisdaugaard	Dennis		Daugaard	S.D.	Governor	Republican	inactive 
DennisMisigoy	Dennis		Misigoy	Fla.	Senate Candidate	Other	
DennisPCrawford	Dennis	P	Crawford	Neb.	House Candidate	Democrat	inactive 
DRichardsonOR	Dennis		Richardson	Ore.	Gubernatorial Candidate	Republican	inactive 
electdennisross	Dennis		Ross	Fla.	House Representative	Republican	inactive 
RepCardoza	Dennis		Cardoza	Calif.	House Representative	Democrat	inactive 
RepDennisRoss	Dennis		Ross	Fla.	House Representative	Republican	inactive 
SDGovDaugaard	Dennis		Daugaard	S.D.	Governor	Republican	
thedennisgrace	Dennis		Grace	Neb.	House Candidate	Other	inactive 
DennyforPA	Denny		Wolff	Pa.	House Candidate	Democrat	inactive 
DennyHeck	Denny		Heck	Wash.	House Representative	Democrat	inactive 
DennyRehberg	Denny		Rehberg	Mont.	House Representative	Republican	inactive 
Rehberg2012	Denny		Rehberg	Mont.	House Representative	Republican	inactive 
RepDennyHeck	Denny		Heck	Wash.	House Representative	Democrat	inactive 
denton_vote	Denton	County	Elections	Texas	Local Agency	Other	inactive 
Denver4VA	Denver		Riggleman	Va.	Gubernatorial Candidate	Republican	inactive 
DenverElections	Denver	County	Elections	Colo.	Local Agency	Other	inactive 
RepRiggleman	Denver		Riggleman	Va.	House Representative	Republican	inactive 
DerekKilmer	Derek		Kilmer	Wash.	House Candidate	Democrat	
DerekMarshallCA	Derek		Marshall	Calif.	House Candidate	Democrat	
DerekME2020	Derek		Levasseur	Maine	Senate Candidate	Republican	inactive 
KYSenator2020	Derek		Petteys	Ky.	Senate Candidate	Other	inactive 
RepDerekKilmer	Derek		Kilmer	Wash.	House Representative	Democrat	
derrickvanorden	Derrick	Van	Orden	Wis.	House Candidate	Republican	
electcrowe	Derrick		Crowe	Texas	House Candidate	Democrat	inactive 
Grayson2k16	Derrick		Grayson	Ga.	Senate Candidate	Republican	inactive 
GraysonForGA	Derrick	E	Grayson	Ga.	Senate Candidate	Republican	inactive 
ReedForCongress	Derrick		Reed	Texas	House Candidate	Democrat	inactive 
desiforcongress	Desi		Maes	Texas	House Candidate	Republican	inactive 
TimsDesiree	Desiree		Tims	Ohio	House Candidate	Democrat	inactive 
detbowers	Det		Bowers	S.C.	Senate Candidate	Republican	inactive 
DevalPatrick	Deval		Patrick	Mass.	Presidential Candidate	Democrat	inactive 
devindthorpe	Devin		Thorpe	Utah	House Candidate	Democrat	inactive 
DevinGNunes	Devin		Nunes	Calif.	House Representative	Republican	inactive 
DevinNunes	Devin		Nunes	Calif.	House Representative	Republican	
DevinPandy	Devin		Pandy	Ga.	House Candidate	Democrat	inactive 
Rep_DevinNunes	Devin		Nunes	Calif.	House Representative	Republican	inactive 
RepDevinNunes	Devin		Nunes	Calif.	House Representative	Republican	
DeGette5280	Diana		DeGette	Colo.	House Candidate	Democrat	
DHarshbargerTN1	Diana		Harshbarger	Tenn.	House Candidate	Republican	inactive 
Diana4Colorado	Diana		Bray	Colo.	Senate Candidate	Democrat	inactive 
DianaMillerTx	Diana		Miller	Texas	House Candidate	Republican	inactive 
RepDianaDeGette	Diana		DeGette	Colo.	House Representative	Democrat	
RepHarshbarger	Diana		Harshbarger	Tenn.	House Representative	Republican	
dianeblack4rep	Diane		Black	Tenn.	House Representative	Republican	inactive 
DianeBlackTN	Diane		Black	Tenn.	Gubernatorial Candidate	Republican	inactive 
DianeHarkey	Diane		Harkey	Calif.	House Candidate	Republican	inactive 
MissWrite	Diane		Russell	Maine	Gubernatorial Candidate	Democrat	inactive 
RepDianeBlack	Diane		Black	Tenn.	House Representative	Republican	inactive 
RepDMB	Diane	Mitsch	Bush	Colo.	House Candidate	Democrat	inactive 
SenFeinstein	Dianne		Feinstein	Calif.	Senator	Democrat	
DickDurbin	Dick		Durbin	Ill.	Senator	Democrat	
DickMuri	Dick		Muri	Wash.	House Candidate	Republican	inactive 
SenatorDurbin	Dick		Durbin	Ill.	Senator	Democrat	
cdiegomorales	Diego		Morales	Ind.	House Candidate	Republican	inactive 
dinatitus	Dina		Titus	Nev.	House Candidate	Democrat	
repdinatitus	Dina		Titus	Nev.	House Representative	Democrat	
DinoRossiWA	Dino		Rossi	Wash.	House Candidate	Republican	inactive 
Dion_IN05	Dion		Douglas	Ind.	House Candidate	Democrat	inactive 
DionForIndiana	Dion		Bergeron	Ind.	House Candidate	Republican	inactive 
cherny4congress	Dmitri		Cherny	S.C.	House Candidate	Republican	inactive 
DocHastings	Doc		Hastings	Wash.	House Representative	Republican	inactive 
DomenicRecchia	Domenic		Recchia	N.Y.	House Candidate	Democrat	inactive 
RecchiaCongress	Domenic	Recchia	Jr.	N.Y.	House Candidate	Democrat	inactive 
DominickDina	Dominick		Dina	Texas	House Candidate	Republican	inactive 
berwickforMA	Don		Berwick	Mass.	Gubernatorial Candidate	Democrat	inactive 
DonBacon2016	Don		Bacon	Neb.	House Candidate	Republican	inactive 
DonBacon20166	Don		Bacon	Neb.	House Candidate	Republican	inactive 
DonBeyerVA	Don		Beyer	Va.	House Representative	Democrat	
DonBlankenship	Don		Blankenship	W.Va.	Senate Candidate	Republican	inactive 
donboyajian	Don		Boyajian	N.Y.	House Candidate	Democrat	inactive 
Doncole4Cong	Don		Cole	Ga.	House Candidate	Republican	inactive 
DonJBacon	Don	J.	Bacon	Neb.	House Representative	Republican	
donmanzullo	Don		Manzullo	Ill.	House Representative	Republican	inactive 
donyoungak	Don		Young	Alaska	House Representative	Republican	
donytterberg	Don		Ytterberg	Colo.	House Candidate	Republican	inactive 
electdonhill	Don		Hill	Texas	House Candidate	Republican	inactive 
GenDonBolduc	Don		Bolduc	N.H.	Senate Candidate	Republican	
manzullohq	Don		Manzullo	Ill.	House Representative	Republican	inactive 
RepDonBacon	Don		Bacon	Neb.	House Representative	Republican	
RepDonBeyer	Don		Beyer	Va.	House Representative	Democrat	
repdonyoung	Don		Young	Alaska	House Representative	Republican	
SedgwickforOC	Don		Sedgwick	Calif.	House Candidate	Republican	inactive 
Donald_McEachin	Donald		McEachin	Va.	House Candidate	Democrat	
DonaldNorcross	Donald		Norcross	N.J.	House Representative	Democrat	
DonaldPayneJr	Donald	Payne	Jr.	N.J.	House Representative	Democrat	
DonaldValdezCO	Donald		Valdez	Colo.	House Candidate	Democrat	
DonNorcross4NJ	Donald		Norcross	N.J.	House Representative	Democrat	
DonNorcrossNJ1	Donald		Norcross	N.J.	House Representative	Democrat	inactive 
realDonaldTrump	Donald	J.	Trump	Fla.	Presidential Candidate	Republican	inactive 
RepDonaldPayne	Donald	Payne	Jr.	N.J.	House Representative	Democrat	
RepMcEachin	Donald		McEachin	Va.	House Representative	Democrat	
TeamTrump	Donald	J.	Trump	D.C.	Presidential Candidate	Republican	inactive 
TrumpInaugural	Donald	J.	Trump	N.Y.	President	Republican	inactive 
DonaldTEasonjr	Donald	T.	Eason Jr.	Ind.	House Candidate	Republican	inactive 
Payne10thNJ	Donald	M.	Payne Sr.	N.J.	House Representative	Democrat	inactive 
DelegateDonna	Donna		Christensen	Virgin Islands	House Representative	Democrat	inactive 
Donna_Sheldon	Donna		Sheldon	Ga.	House Candidate	Republican	inactive 
DonnaDeegan	Donna		Deegan	Fla.	House Candidate	Democrat	inactive 
DonnaFEdwards	Donna		Edwards	Md.	Senate Candidate	Democrat	inactive 
donnaimamTX	Donna		Imam	Texas	House Candidate	Democrat	inactive 
donnamcaleer	Donna		McAleer	Utah	House Candidate	Democrat	inactive 
DonnaShalala	Donna		Shalala	Fla.	House Candidate	Democrat	inactive 
repdonnaedwards	Donna	F.	Edwards	Md.	House Representative	Democrat	inactive 
RepShalala	Donna		Shalala	Fla.	House Representative	Democrat	inactive 
DorisMatsui	Doris		Matsui	Calif.	House Representative	Democrat	
Matsui4Congress	Doris		Matsui	Calif.	House Candidate	Democrat	
VoteLeeTurner	Doris	Lee	Turner	S.C.	House Candidate	Democrat	inactive 
dorothy4house	Dorothy		Gasque	Wash.	House Candidate	Democrat	inactive 
Dotty4Congress	Dotty		Nygard	Calif.	House Candidate	Democrat	inactive 
1doughassett	Doug		Hassett	Calif.	House Candidate	Republican	inactive 
ApplegateCA49	Doug		Applegate	Calif.	House Candidate	Democrat	inactive 
CollinsforGA	Doug		Collins	Ga.	Senate Candidate	Republican	inactive 
DaggettCongress	Doug		Daggett	Minn.	House Candidate	Republican	inactive 
doug_wardlow	Doug		Wardlow	Minn.	State Official	Republican	inactive 
dougbasler	Doug		Basler	Wash.	House Candidate	Republican	inactive 
DougBurgum	Doug		Burgum	N.D.	Governor	Republican	
dougducey	Doug		Ducey	Ariz.	Governor	Republican	
DougForDakota	Doug		Burgum	N.D.	Gubernatorial Candidate	Republican	
DougForMT	Doug		Campbell	Mont.	House Candidate	Other	inactive 
DougGansler	Doug		Gansler	Md.	Gubernatorial Candidate	Democrat	inactive 
DougJones	Doug		Jones	Ala.	Senate Candidate	Democrat	
DougJonesHQ	Doug		Jones	Ala.	Senate Candidate	Democrat	inactive 
DougLaMalfa	Doug		LaMalfa	Calif.	House Representative	Republican	inactive 
DougLambornCD5	Doug		Lamborn	Colo.	House Representative	Republican	
DouglasJBooth	Doug		Booth	Mich.	House Candidate	Democrat	inactive 
dougmastriano	Doug		Mastriano	Pa.	House Candidate	Republican	inactive 
DougMclinko	Doug		McLinko	Pa.	House Candidate	Republican	inactive 
DougOse	Doug		Ose	Calif.	House Candidate	Republican	inactive 
DougRBennett	Doug		Bennett	Ill.	House Candidate	Republican	inactive 
DougTruax	Doug		Truax	Ill.	Senate Candidate	Republican	inactive 
DougWilsonOH12	Doug		Wilson	Ohio	House Candidate	Democrat	inactive 
MeyerTN4	Doug		Meyer	Tenn.	House Candidate	Republican	inactive 
RepDLamborn	Doug		Lamborn	Colo.	House Representative	Republican	
RepDougCollins	Doug		Collins	Ga.	House Representative	Republican	inactive 
RepLaMalfa	Doug		LaMalfa	Calif.	House Representative	Republican	
SenDougJones	Doug		Jones	Ala.	Senator	Democrat	inactive 
vote4mckinley	Doug		McKinley	Wash.	House Candidate	Democrat	inactive 
votedougowens	Doug		Owens	Utah	House Candidate	Democrat	inactive 
ElectTuman	Douglas		Tuman	N.Y.	House Candidate	Republican	inactive 
Lowell4Congress	Douglas		Lowell	Ariz.	House Candidate	Republican	
pierceussenate	Douglas		Pierce	Calif.	Senate Candidate	Democrat	inactive 
Canning4Oregon	Doyle		Canning	Ore.	House Candidate	Democrat	inactive 
DrewFergusonGA	Drew		Ferguson	Ga.	House Representative	Republican	
DrewForOklahoma	Drew		Edmondson	Okla.	Governor	Democrat	inactive 
RepDrewFerguson	Drew		Ferguson	Ga.	House Representative	Republican	
DrDHennen	Duane		Hennen	Ohio	House Candidate	Republican	inactive 
WhitmerForNY27	Duane		Whitmer	N.Y.	House Candidate	Other	inactive 
DukeAiona2014	Duke		Aiona	Hawaii	Gubernatorial Candidate	Republican	inactive 
ddhforcongress	Duncan	D.	Hunter	Calif.	House Candidate	Republican	inactive 
Rep_Hunter	Duncan	D.	Hunter	Calif.	House Representative	Republican	inactive 
DuPageCoClerk	DuPage	County	Clerk	Ill.	Local Agency	Other	inactive 
Leitzel4CO	Dustin		Leitzel	Colo.	Senate Candidate	Democrat	inactive 
DustyJohnson	Dusty		Johnson	S.D.	House Candidate	Republican	inactive 
RepDustyJohnson	Dusty		Johnson	S.D.	House Representative	Republican	
Call_Me_Dutch	Dutch		Ruppersberger	Md.	House Representative	Democrat	
GoDutchForMD	Dutch		Ruppersberger	Md.	House Candidate	Democrat	
DukeforUSSenate	Dwayne	Duke	Buckner	S.C.	Senate Candidate	Republican	inactive 
DwayneStovall	Dwayne	5	Stovall	Texas	Gubernatorial Candidate	Republican	inactive 
DwightEvansPA	Dwight		Evans	Pa.	House Candidate	Democrat	
kealy4congress	Dwight		Kealy	Calif.	House Candidate	Republican	inactive 
RepDwightEvans	Dwight		Evans	Pa.	House Representative	Democrat	
Dylan2DC	Dylan		Conley	R.I.	House Candidate	Democrat	inactive 
DylanBillingsOK	Dylan		Billings	Okla.	Senate Candidate	Democrat	inactive 
EBrianRose	E	Brian	Rose	Miss.	House Candidate	Republican	inactive 
RepEBJ	E.B.		Johnson	Texas	House Representative	Democrat	
BlumenauerMedia	Earl		Blumenauer	Ore.	House Representative	Democrat	
EarlChildress	Earl		Childress	Mo.	House Candidate	Democrat	
GovTomblin	Earl	Ray	Tomblin	W.Va.	Governor	Democrat	inactive 
repblumenauer	Earl		Blumenauer	Ore.	House Candidate	Democrat	
CongressEd	Ed		Baker	Ore.	House Candidate	Other	inactive 
Ed4Colorado	Ed		Perlmutter	Colo.	House Representative	Democrat	
EdCaseHawaii	Ed		Case	Hawaii	House Candidate	Democrat	
edforcongress12	Ed		Albertson	Ohio	House Candidate	Democrat	inactive 
EdForSenate	Ed		Gillespie	Va.	Senate Candidate	Republican	inactive 
Edforthepeople	Ed	Van	Deventer	Mo.	House Candidate	Republican	inactive 
EdMarkey	Ed		Markey	Mass.	Senator	Democrat	
EdRRoyce	Ed		Royce	Calif.	House Candidate	Republican	inactive 
EdRushman	Ed		Rushman	Calif.	House Candidate	Other	inactive 
edtarverga	Ed		Tarver	Ga.	Senate Candidate	Democrat	inactive 
EdTowns	Ed		Towns	N.Y.	House Representative	Democrat	inactive 
EdWGillespie	Ed		Gillespie	Va.	Gubernatorial Candidate	Republican	inactive 
JanyForCongress	Ed		Jany	Fla.	House Candidate	Democrat	inactive 
OMalley4Kansas	Ed		O&#39;Malley	Kan.	Gubernatorial Candidate	Republican	inactive 
PastorForAZ	Ed		Pastor	Ariz.	House Representative	Democrat	inactive 
RepEdCase	Ed		Case	Hawaii	House Representative	Democrat	
RepEdRoyce	Ed		Royce	Calif.	House Representative	Republican	inactive 
RepEdWhitfield	Ed		Whitfield	Ky.	House Representative	Republican	inactive 
RepPerlmutter	Ed		Perlmutter	Colo.	House Representative	Democrat	
SenMarkey	Ed		Markey	Mass.	Senator	Democrat	
TeamWhitfieldKY	Ed		Whitfield	Ky.	House Representative	Republican	inactive 
eddiebazacalvo	Eddie	Baza	Calvo	Guam	Governor	Republican	inactive 
EddieEdwardsNH	Eddie		Edwards	N.H.	House Candidate	Republican	inactive 
eddiejmauro	Eddie	J	Mauro	Iowa	Senate Candidate	Democrat	inactive 
ElectHAMILTON	Eddie		Hamilton	Nev.	House Candidate	Republican	inactive 
fisher_tx14	Eddie		Fisher	Texas	House Candidate	Democrat	inactive 
gellered	Eddie		Geller	Fla.	House Candidate	Democrat	
EdLaborCmte	EdLabor		Cmte	D.C.	Congressional committee	Democrat	
EdLaborGOP	EdLabor		GOP	D.C.	Congressional committee	Republican	
JerryBrownGov	Edmund	Jerry	Brown	Calif.	Governor	Democrat	inactive 
edlindsey14	Edward		Lindsey	Ga.	House Candidate	Republican	inactive 
Edward_Pa16	Edward		DeSantis	Pa.	House Candidate	Democrat	inactive 
docholliday4ms1	Edward Troy	Doc	Holliday	Miss.	House Candidate	Republican	inactive 
DuterteCA	Edwin		Duterte	Calif.	House Candidate	Republican	inactive 
EdwinWEdwards	Edwin	W	Edwards	La.	House Candidate	Democrat	inactive 
BedellforVA	Eileen		Bedell	Va.	House Candidate	Democrat	inactive 
ElaineDiMasi	Elaine		Dimasi	N.Y.	House Candidate	Democrat	inactive 
ElaineHaysTX	Elaine		Hays	Texas	House Candidate	Republican	inactive 
ElaineLuriaVA	Elaine		Luria	Va.	House Candidate	Democrat	
RepElaineLuria	Elaine		Luria	Va.	House Representative	Democrat	
Carr4Congress	Elan		Carr	Calif.	House Candidate	Republican	inactive 
eleanor4dc	Eleanor	Holmes	Norton	D.C.	House Representative	Democrat	
EleanorNorton	Eleanor		Holmes-Norton	D.C.	House Representative	Democrat	
elibremer	Eli		Bremer	Colo.	Senate Candidate	Republican	
EliClemmer	Eli		Clemmer	N.H.	House Candidate	Republican	inactive 
EliCraneAZ	Eli		Crane	Ariz.	House Candidate	Republican	
votevessali	Elianor		Vessali	Texas	House Candidate	Republican	inactive 
ReElectCummings	Elijah		Cummings	Md.	House Representative	Democrat	inactive 
RepCummings	Elijah	E	Cummings	Md.	House Representative	Democrat	inactive 
Swanson4Liberty	Elinor		Swanson	Mont.	House Candidate	Other	inactive 
EliotCutler	Eliot		Cutler	Maine	Gubernatorial Candidate	Independent	inactive 
RepEliotEngel	Eliot		Engel	N.Y.	House Representative	Democrat	
ElisaCardnell	Elisa		Cardnell	Texas	House Candidate	Democrat	inactive 
