twitter	name_first	name_middle	name_last	state	position	party	inactive 
aldous16	Aldous		Mina	Va.	Senate Candidate	Other	inactive 
AlecJRoss	Alec		Ross	Md.	Gubernatorial Candidate	Democrat	inactive 
agarciapadilla	Alejandro	García	Padilla	Puerto Rico	Governor	Democrat	
alekskarlatos	Alek		Skarlatos	Ore.	House Candidate	Republican	
Alex___Hubbard	Alex		Hubbard	N.Y.	House Candidate	Democrat	inactive 
AlexBMorse	Alex		Morse	Mass.	House Candidate	Democrat	inactive 
Alexforarizona	Alex		Stovall	Ariz.	House Candidate	Republican	
AlexForIdaho	Alex		Gallegos	Idaho	House Candidate	Republican	inactive 
AlexLasryWI	Alex		Lasry	Wis.	Senate Candidate	Democrat	
AlexPadilla4CA	Alex		Padilla	Calif.	Senate Candidate	Democrat	
AlexSinkFlorida	Alex		Sink	Fla.	House Candidate	Democrat	inactive 
ElvisAndHisMom	Alex		Furman	Mo.	House Candidate	Other	inactive 
MooneyforWV	Alex		Mooney	W.Va.	House Candidate	Republican	
Pires4USSenate	Alex		Pires	Del.	Senate Candidate	Independent	inactive 
RepAlexMooney	Alex		Mooney	W.Va.	House Representative	Republican	
SenAlexPadilla	Alex		Padilla	Calif.	Senator	Democrat	
spenser2020	Alex		Spenser	Ore.	House Candidate	Democrat	inactive 
a_chandler	Alexandra		Chandler	Mass.	House Candidate	Democrat	inactive 
ahunt4congress	Alexandra		Hunt	Pa.	House Candidate	Democrat	
AMOwensby	Alexandra		Owensby	Ky.	House Candidate	Democrat	inactive 
AOC	Alexandria		Ocasio-Cortez	N.Y.	House Candidate	Democrat	
RepAOC	Alexandria		Ocasio-Cortez	N.Y.	House Representative	Democrat	
alexisjohnsonnm	Alexis	Martinez	Johnson	N.M.	House Candidate	Republican	inactive 
akhoras	Ali		Khorasani	Texas	House Candidate	Democrat	inactive 
AliaUreste	Alia		Ureste	Texas	House Candidate	Republican	inactive 
ureste4congress	Alia		Ureste	Texas	House Candidate	Republican	
AliceforCO	Alice		Madden	Colo.	Senate Candidate	Democrat	inactive 
Eck4Senate	Alieta		Eck	N.J.	Senate Candidate	Republican	inactive 
DrAlinaValdes	Alina		Valdes	Fla.	House Candidate	Democrat	inactive 
alisciaandrews	Aliscia		Andrews	Va.	House Candidate	Republican	inactive 
